date,PwC,"FERCHAU Engineering",Bertrandt,"arvato Systems S4M GmbH","arvato Systems","Orizon GmbH","See More",Deloitte,"home of jobs Hamburg GmbH","GKM-recruitment partner Ltd.","Airbus Group","BMW Group"
2015-05-27,8,6,7,6,5,,5,5,5,,,6
2015-05-27,8,6,7,,5,,5,5,5,,,6
2015-05-28,8,6,7,,5,,5,5,5,,,6
2015-05-28,8,6,7,,5,,5,5,5,,,6
2015-05-29,8,7,7,7,5,,5,,5,5,5,5
2015-05-30,8,7,7,7,5,,5,,5,5,5,
2015-06-01,8,7,6,7,5,6,5,,5,5,,
2015-06-02,8,7,6,7,5,5,5,,5,,,
2015-06-04,8,7,6,8,6,5,5,5,,,,
2015-06-05,8,7,6,6,6,5,5,,,,,
