date,"Dassault Systèmes","Sopra Steria",Microsoft,Capgemini,Thales,Deloitte,"Johnson &amp; Johnson","See More","Confidential Company - Undisclosed","BNP Paribas","Airbus Group","Société Générale","Veolia Energy","Alstom Group","Crédit Foncier",HSBC,Atos,"Allianz Group","EADS Defence &amp; Security",CNRS,DuPont,"Gfi Informatique","Schneider Electric",Cat-Amania,"Cap Fi Groupe","Crédit Agricole"
2015-05-27,16,6,,,5,17,7,5,111,27,19,33,,10,6,6,,,7,,,,10,,,33
2015-05-27,16,6,,,5,17,7,5,111,27,19,33,,10,6,6,,,7,,,,9,,,33
2015-05-28,21,6,,,7,17,7,6,110,27,19,32,8,10,,6,,,7,,,,9,,,33
2015-05-28,21,,,,7,16,7,6,110,27,19,32,8,10,10,6,,,10,,,,9,,,35
2015-05-29,21,6,,,8,17,7,6,116,27,19,29,10,9,10,,,,10,,,,10,,,36
2015-05-30,21,6,,,8,17,7,5,130,26,19,26,11,10,10,,,,10,,,,8,,5,
2015-05-31,21,6,,,8,17,7,5,127,26,19,25,11,10,11,,,,10,,,,8,,5,
2015-06-01,22,6,,,8,17,7,6,80,26,20,25,11,10,11,,,,8,,,,8,,,
2015-06-02,22,9,,,,15,,,,,,,,,,,,,,,,,,,,
2015-06-03,25,10,,,,17,7,7,131,27,20,27,13,9,11,11,,,8,,,24,8,,,
2015-06-04,25,,,,,17,,8,131,27,22,27,13,10,11,13,10,8,11,,,23,9,,,
2015-06-05,25,9,,,,15,,9,78,27,23,27,14,10,11,13,10,,11,,,22,9,,,
2015-06-06,25,9,,,,15,,9,79,27,23,27,14,10,11,13,10,9,9,,,22,,,,
2015-06-07,25,9,,,8,15,,8,80,27,23,26,13,10,11,13,10,,9,,,21,,,,
2015-06-08,25,9,,,9,15,,8,80,26,23,26,13,9,11,13,10,,,,,21,8,,,
2015-06-09,25,12,,,9,15,,8,84,26,21,27,13,9,11,13,10,,,,,20,8,,,
2015-06-10,28,13,,,10,15,,8,84,26,21,27,11,12,,13,10,9,,,,20,8,,,
2015-06-11,25,10,,,10,15,,8,84,25,21,24,11,12,,12,10,,,,,21,9,8,,
2015-06-12,21,9,,,10,15,,8,85,25,21,24,13,12,,12,10,,,,,23,9,8,,
2015-06-13,21,9,,,10,15,,8,80,25,22,24,12,12,,13,10,,,,,23,8,8,,
2015-06-14,21,9,,,10,16,,8,70,25,22,24,13,12,,14,10,,,,,23,8,8,,
2015-06-15,21,,,,10,16,,8,70,26,22,23,13,12,11,14,10,,10,,,23,8,,,
2015-06-16,21,,17,,10,16,,10,85,26,23,23,12,12,11,13,10,11,,,,24,,,,
2015-06-17,20,6,17,,11,13,6,6,,,,,,,,,,,,,8,,,,,
2015-06-18,24,,18,18,12,15,,12,79,26,22,25,12,13,12,12,,,12,,,24,,,,
2015-06-19,24,9,18,,10,13,6,5,,,,,,,,,,,,5,8,,,,,
2015-06-20,24,9,18,,10,13,6,5,,,,,,,,,,,,5,8,,,,,
2015-06-21,24,9,18,,10,13,6,5,,,,,,,,,,,,5,8,,,,,
2015-06-22,25,23,18,17,11,15,,11,72,26,24,25,13,15,11,12,,,,,,24,,,,
2015-06-23,26,23,18,,10,13,6,5,,,,,,,,,,,,5,6,,,,,
2015-06-24,26,24,18,17,12,14,,10,78,27,23,22,16,15,,12,,10,10,,,,,,,
2015-06-25,26,22,18,,11,9,6,5,,,,,,,,,,,,5,,,,,,
2015-06-26,25,22,18,,11,9,6,6,,,,,,,,,,,,,,,,,,
2015-06-27,25,22,18,,11,11,,9,85,27,22,20,17,14,,9,9,9,9,,,,,,,
2015-06-28,25,22,18,,11,11,,9,76,27,22,20,17,16,10,9,9,9,,,,,,,,
2015-06-29,25,22,18,,11,12,6,6,,,,,,,,,,,,,,,,,,
2015-06-30,25,23,18,16,13,12,6,6,,,,,,,,,,,,,,,,,,
